309,Hampton,0.943,0.955,0.856,0.966,0.930,0.989
310,Jackson St,0.943,0.997,0.874,1.004,0.907,0.945
311,GA Tech,0.942,0.954,0.758,0.963,0.918,1.065
312,Portland,0.940,1.054,0.924,0.924,0.952,1.028
313,NC A&T,0.939,1.077,1.021,1.021,0.892,0.939
314,Radford,0.939,0.884,0.789,0.984,0.909,1.016
315,Indiana St,0.938,0.953,0.933,0.998,0.895,0.931
316,Delaware St,0.938,0.989,0.868,0.990,0.917,0.865
317,Miss Val St,0.938,1.042,0.816,1.057,0.891,0.880
318,North Texas,0.937,0.979,1.218,0.976,0.887,0.991
319,Seattle,0.935,0.790,0.734,0.934,0.935,0.927
320,Florida A&M,0.935,0.917,1.025,0.952,0.922,0.845
321,Rutgers,0.935,0.992,0.989,0.984,0.891,0.911
322,Cleveland St,0.934,1.031,1.002,0.954,0.925,0.886
323,Bradley,0.934,0.925,0.703,0.964,0.912,0.810
324,McNeese St,0.933,1.002,1.120,0.986,0.895,0.969
325,SIU Edward,0.933,1.055,1.067,0.955,0.919,0.932
326,Fordham,0.932,0.934,0.971,0.952,0.911,1.008
327,E Carolina,0.926,0.983,1.089,0.937,0.913,0.978
328,American,0.924,0.988,0.879,0.962,0.889,0.903
329,Morgan St,0.921,0.983,1.021,0.969,0.882,0.943
330,N Iowa,0.921,0.887,0.950,0.985,0.876,1.041
331,TX-San Ant,0.920,1.035,1.078,0.980,0.884,0.961
332,Lafayette,0.918,0.979,0.955,0.939,0.898,0.977
333,Central Conn,0.913,0.944,1.071,0.917,0.911,0.911
334,Alab A&M,0.910,0.991,0.854,0.991,0.870,0.989
335,Oregon St,0.909,0.818,0.909,0.923,0.896,1.024
336,Longwood,0.909,0.925,1.043,0.962,0.869,1.031
337,S Florida,0.908,0.829,0.813,0.926,0.885,0.918
338,Saint Louis,0.907,0.958,0.732,0.956,0.845,0.924
339,Maine,0.903,0.816,0.614,0.915,0.896,0.941
340,Alabama St,0.903,0.981,1.017,0.996,0.856,0.968
341,Howard,0.900,0.927,0.739,0.976,0.865,0.939
342,Coppin State,0.900,0.939,0.910,1.030,0.845,0.944
343,UC Riverside,0.898,0.935,0.966,0.883,0.909,0.975
344,Rob Morris,0.898,0.969,0.915,0.896,0.899,0.915
345,S Mississippi,0.894,1.013,0.988,0.963,0.843,0.950
346,UCSB,0.884,0.955,0.900,0.903,0.869,1.001
347,Presbyterian,0.869,0.907,0.913,0.901,0.849,0.927
348,Chicago St,0.867,0.872,0.795,0.872,0.865,0.867
349,St Fran (NY),0.866,0.775,0.794,0.894,0.847,0.937
350,Ark Pine Bl,0.857,0.870,1.029,0.972,0.798,0.841
351,W Carolina,0.847,0.917,0.910,0.932,0.790,0.987
